id;id_externo;nombre;descripcion;precio;precio_gratis;dispositivo_id
1;31408;stint;eek;15295.73;3408.09;1
2;25897;kosher;tusk minus;32411.92;28844.37;2
3;15097;till;even fleck;25860.9;12779.57;3
4;16382;where;with mediocre;20380.3;27433.78;4
5;10519;imaginative private;quarrel manipulate until;4733.51;10254.77;5
6;12523;given indeed;debut;21601.57;14066.52;6
7;6368;famously;amid deliquesce;16983.44;6276.83;7
8;25961;ew oh;amongst soap;13414.22;15392.97;8
9;1160;sanity lovable than;beside;28960.18;18832.5;9
10;3706;fast smog hm;than excitedly what;30628.67;7973.86;10
