id;nombre;descripcion;precio;precio_gratis
1;enhance;Response benchmark networks;32354;33332
2;granular online Books;internet transform engineer;63195;46462
3;dynamic Accountability solution;Rustic empowering EXE;23500;32692
4;JBOD Cotton HDD;monetize Administrator;27997;14915
5;Fantastic Orchard Tasty;payment;82840;20732
6;overriding Lebanese Loan;Fantastic analyzing;19967;16187
7;driver payment Bacon;deliver;44089;14433
8;Re-contextualized;invoice;55216;63587
9;Rubber Missouri;encoding input adapter;32452;45980
10;Pa'anga Lead Cambridgeshire;primary Botswana homogeneous;15586;76434
