id;id_externo;codigo;nombre;descripcion;precio_base;moneda
1;4614;wonderfully beside;failing aside gerbil;anenst;5257.1;EUR
2;4348;than whether elementary;uncork along fail;utter;9701.69;EUR
3;10743;consign yet;whoa geez for;failing round;5255.14;ARS
4;31101;sour creamy;grave persecute;patiently sharply;29518.82;ARS
5;2511;longingly following um;bobble interestingly tensely;expatiate even;27372.88;USD
6;23284;curiously couch;of;fruitful substantiate;5392.32;ARS
7;29984;humidity perfectly;underneath;recount unlawful eek;12713.82;USD
8;29883;coarse papa psst;fervently extremely thoughtfully;incomplete hovel;17553.27;ARS
9;28552;yieldingly far;recklessly fortunately;tabulate obtrude splosh;32529.06;EUR
10;24981;snarling tuba lest;but ick;ew babyish;20378.15;ARS
