id;codigo;nombre;descripcion;precio_base;moneda
1;seamless;IB;systems maximized;8019;Sleek
2;program Accountability Organic;Pants e-enable;pink Ergonomic Incredible;78201;up state
3;static Ville;deposit Assurance harness;Planner Senior Cambridgeshire;34590;transmitting upward-trending Frozen
4;Data withdrawal Quality;magenta withdrawal;virtual;88453;Ergonomic
5;Orchestrator;Dollar overriding Rustic;transmitter THX Legacy;53343;Automotive Branch cyan
6;Toys Forint;Run wireless;RAM Kenyan Outdoors;6144;up payment RAM
7;Assurance revolutionize Licensed;Dynamic compress;e-commerce aggregate Fantastic;15068;pricing black
8;deposit Island;Re-engineered;Unbranded Optional;79214;Cambridgeshire
9;schemas;Ergonomic Functionality;Account Fantastic;48858;workforce Wooden
10;Rand;maroon;e-markets EXE;79232;Fantastic mint
