id;id_externo;codigo;nombre;descripcion;precio_adicional;personalizacion_id
1;30952;circa;mockingly radiant;although cruelty;30171.93;1
2;6212;aw;diagram officially grandpa;whereas gallery;19306.33;2
3;3087;corny awkwardly;except from squid;to contrail eek;29963.2;3
4;4874;priesthood damp;bandwidth pilot;mmm case;17493.33;4
5;15380;demob;amongst story respectful;carelessly;20063.54;5
6;1712;whereas tarragon;ruin;whenever intervention showy;11925.93;6
7;7759;dark however;uh-huh trash;terribly intent midst;3784.58;7
8;31412;newsstand while;ah;phew papa;18601.2;8
9;542;ah outside likewise;grouper;word long;19233.42;9
10;923;frantically ah healthily;after;list whereas;18553.54;10
